# Список (потенциально всех) русских названий улиц
# Для удобства:
# - Не удаляйте заголовок
# - Поддерживайте сортировку списка (см. скрипт sort.sh)
# - Добавляйте комментарии к неочевидным названиям (Ангелов переулок,
#   Усачёва улица) и проблемам с е/ё; в комментарии указывайте регион,
#   где название встречается и, если возможно, ссылки на информацию
#   почему название именно такое
# - Комментарии начинаются с # <- 30-й позиции в строке
# - Возможные ошибки, которые надо расследовать и исправить, отмечаются
#   XXX или FIXME
# - Для названий, проверенных по внешним источникам, добавляйте тэги
#   в комментариях. При изменении, соответственно, тэг следует убрать.
#   На данный момент:
#     [ОМКУМ] - классификатор улиц Москвы
1-е Корытовское шоссе
1-е Успенское шоссе
1-й Авдотьинский переулок
1-й Авиационный проезд
1-й Автодромный переулок
1-й Автозаводский проезд
1-й Автосборочный переулок
1-й Аграрный переулок
1-й Агрегатный переулок
1-й Агрономический переулок
1-й Азовский проезд
1-й Академический проезд
1-й Акмолинский проезд
1-й Акуловский проезд
1-й Алеутский переулок
1-й Аллейный проезд
1-й Алмазный переулок
1-й Алтуховский переулок
1-й Амбулаторный проезд
1-й Амурский переулок
1-й Амурский проезд
1-й Амурский тупик
1-й Ангарский проезд
1-й Андреевский проезд
1-й Аникинский переулок
1-й Аптечный проезд
1-й Артезианский проезд
1-й Артельный переулок
1-й Артельный проезд
1-й Артиллерийский переулок
1-й Архангельский переулок
1-й Архивный переулок
1-й Аткарский проезд
1-й Атмосферный переулок
1-й Аэрофлотский переулок
1-й Бабьегородский переулок
1-й Бадаевский проезд
1-й Базарный проезд
1-й Базовый проезд
1-й Бакунинский переулок
1-й Балашовский переулок
1-й Балинский переулок
1-й Балинский проезд
1-й Балтийский переулок
1-й Банный переулок
1-й Барьерный переулок
1-й Басманный переулок
1-й Бауманский мост
1-й Бауманский переулок
1-й Бахмачеевский проезд
1-й Башенный переулок
1-й Беговой переулок
1-й Безымянный переулок
1-й Белогорский переулок
1-й Белокаменный проезд
1-й Белорецкий переулок
1-й Белоусовский переулок
1-й Белоярский переулок
1-й Бельский проезд
1-й Беляницкий переулок
1-й Береговой переулок
1-й Береговой проезд
1-й Березинский переулок
1-й Березовский переулок
1-й Берендяковский переулок
1-й Берёзовый переулок
1-й Берёзовый проезд
1-й Берёзовый просек
1-й Бийский переулок
1-й Биржевой проезд
1-й Благоварский переулок
1-й Благодатный переулок
1-й Благодатный проезд
1-й Блочный переулок
1-й Богородский проезд
1-й Богучарский переулок
1-й Бойный переулок
1-й Болотный переулок
1-й Больничный переулок
1-й Большой Поливановский проезд
1-й Ботанический проезд
1-й Боткинский проезд
1-й Боцманский переулок
1-й Брагинский переулок
1-й Брестский переулок
1-й Бронницкий переулок
1-й Бронный переулок
1-й Брусничный переулок
1-й Брянский переулок
1-й Брянский тупик
1-й Буковый переулок
1-й Булатовский переулок
1-й Бульварный переулок
1-й Буньковский переулок
1-й Бурцевский переулок
1-й Бутырский переулок
1-й Былинный переулок
1-й Бытовой переулок
1-й Бытовой проезд
1-й Вагонный переулок
1-й Вагонный проезд
1-й Вакуровский проезд
1-й Ведомственный проезд
1-й Везельский переулок
1-й Вертковский переулок
1-й Верхне-Профинтерновский переулок
1-й Верхний Михайловский проезд
1-й Верхний переулок
1-й Верхоянский переулок
1-й Весенний переулок
1-й Весенний проезд
1-й Веськовский проезд
1-й Ветеринарный переулок
1-й Вешняковский проезд
1-й Вилюйский проезд
1-й Вишневый переулок
1-й Вишневый проезд
1-й Вишнёвый проезд
1-й Владимирский переулок
1-й Внутренний тупик
1-й Водяной переулок
1-й Войковский проезд
1-й Вокзальный переулок
1-й Вокзальный проезд
1-й Вокзальный тупик
1-й Волгоградский переулок
1-й Волгоградский проезд
1-й Волжский проезд
1-й Волконский переулок
1-й Вологодский проезд
1-й Володарский переулок
1-й Володин переулок
1-й Волоколамский проезд
1-й Волочаевский переулок
1-й Вольный переулок
1-й Вольский проезд
1-й Воркутинский переулок
1-й Воронежский проезд
1-й Ворошиловский переулок
1-й Восточный переулок
1-й Восточный проезд
1-й Восточный спуск
1-й Вражский переулок
1-й Высокий проезд
1-й Высоковольтный переулок
1-й Вышеславцев переулок     # Москва, http://ru.wikipedia.org/wiki/Первый_Вышеславцев_переулок
1-й Вязовский проезд
1-й Газовый переулок
1-й Газонный переулок
1-й Гвардейский переулок
1-й Гвоздильный проезд
1-й Геологический проезд
1-й Георгиевский проезд
1-й Глазурный переулок
1-й Гоголевский переулок
1-й Голутвинский переулок
1-й Гольшанский переулок
1-й Гончарный переулок
1-й Гончаровский переулок
1-й Горноспасательный переулок
1-й Горный тупик
1-й Горняцкий переулок
1-й Горский переулок
1-й Гражданский переулок
1-й Гражданский проезд
1-й Грайвороновский проезд
1-й Греческий переулок
1-й Дальний переулок
1-й Дачно-Мещерский проезд   # Москва; учитывая Мещёрский проспект и переулок, возможно Ё. "Имена московских улиц. Топонимический словарь" тут противоречит сам себе, где-то князь Мещерский, где-то Мещёрский
1-й Дачный переулок
1-й Дачный проезд
1-й Декабрьский переулок
1-й Делегатский переулок
1-й Дербеневский переулок
1-й Детский переулок
1-й Детский проезд
1-й Днепровский проезд
1-й Добролюбовский проезд
1-й Добрынинский переулок
1-й Донбасский переулок
1-й Донецкий переулок
1-й Донской проезд
1-й Дорожный переулок
1-й Дорожный проезд
1-й Дубровский проезд
1-й Елагин мост
1-й Еланский переулок
1-й Елшанский тупик
1-й Железнодорожный переулок
1-й Железнодорожный проезд
1-й Железнодорожный тупик
1-й Жёлтиковский проезд
1-й Забавный тупик
1-й Заводской переулок
1-й Заводской проезд
1-й Загородный переулок
1-й Западный проезд
1-й Запорожский переулок
1-й Заречный переулок
1-й Заречный проезд
1-й Заречный тупик
1-й Зачатьевский переулок
1-й Зборовский переулок
1-й Звонкий переулок
1-й Звёздный переулок
1-й Звёздный проезд
1-й Зелёный переулок
1-й Зелёный проезд
1-й Земельный переулок
1-й Земледельческий переулок
1-й Зимний мост
1-й Зимний переулок
1-й Знаменский проезд
1-й Извозный переулок
1-й Измайловский переулок
1-й Индустриальный переулок
1-й Индустриальный проезд
1-й Инженерный мост
1-й Институтский переулок
1-й Институтский проезд
1-й Инструментальный переулок
1-й Интернациональный переулок
1-й Ипподромный проезд
